0,1,2,3
-32.0,-1232.0,11840.0,23663.0
400.0,-1328.0,15360.0,23765.0
16.0,-1600.0,19184.0,23868.0
768.0,-2064.0,21408.0,23971.0
128.0,-1808.0,16960.0,24073.0
288.0,-1088.0,13040.0,24176.0
-80.0,-896.0,12208.0,24278.0
224.0,-960.0,16000.0,24381.0
48.0,-1488.0,20272.0,24484.0
0.0,240.0,19904.0,24586.0
-32.0,0.0,16128.0,24689.0
32.0,-1040.0,12800.0,24791.0
0.0,-1328.0,13472.0,24894.0
144.0,-1312.0,17504.0,24996.0
528.0,-1920.0,20704.0,25099.0
80.0,-1856.0,18736.0,25202.0
192.0,-1200.0,14768.0,25304.0
144.0,-944.0,12176.0,25407.0
320.0,-848.0,14256.0,25509.0
144.0,-912.0,18832.0,25612.0
320.0,-816.0,20688.0,25714.0
368.0,-16.0,18496.0,25817.0
-416.0,-592.0,13824.0,25920.0
-96.0,-1248.0,12736.0,26022.0
32.0,-1344.0,15520.0,26125.0
144.0,-1744.0,19120.0,26227.0
384.0,-1984.0,19968.0,26330.0
0.0,-1408.0,16512.0,26432.0
128.0,-1024.0,13408.0,26535.0
128.0,-880.0,13264.0,26638.0
304.0,-1136.0,17280.0,26740.0
368.0,-608.0,20048.0,26843.0
160.0,448.0,19184.0,26945.0
208.0,-640.0,16064.0,27048.0
128.0,-1408.0,13200.0,27151.0
-64.0,-1328.0,14176.0,27253.0
256.0,-1664.0,17776.0,27356.0
112.0,-1952.0,19728.0,27458.0
128.0,-1872.0,18160.0,27561.0
-32.0,-1152.0,14608.0,27664.0
64.0,-928.0,13120.0,27766.0
112.0,-1008.0,15440.0,27869.0
256.0,-1376.0,18832.0,27972.0
224.0,288.0,19760.0,28074.0
320.0,144.0,17920.0,28177.0
0.0,-1312.0,13872.0,28279.0
32.0,-1312.0,13600.0,28382.0
192.0,-1440.0,15984.0,28484.0
320.0,-1664.0,19328.0,28587.0
160.0,-1904.0,18992.0,28690.0
160.0,-1424.0,16416.0,28792.0
64.0,-976.0,13712.0,28895.0
-112.0,-848.0,14112.0,28997.0
160.0,-1216.0,17248.0,29100.0
256.0,-688.0,19504.0,29202.0
-176.0,528.0,18448.0,29305.0
-192.0,-912.0,15168.0,29408.0
240.0,-1408.0,14064.0,29510.0
-208.0,-1264.0,14560.0,29613.0
624.0,-1712.0,18576.0,29715.0
32.0,-1888.0,19072.0,29818.0
304.0,-1584.0,17856.0,29920.0
128.0,-1120.0,14992.0,30023.0
208.0,-960.0,13968.0,30126.0
-32.0,-944.0,15600.0,30228.0
16.0,-880.0,18432.0,30331.0
320.0,-448.0,19184.0,30433.0
128.0,-64.0,16848.0,30536.0
-352.0,-1056.0,14048.0,30639.0
96.0,-1232.0,14336.0,30741.0
-32.0,-1424.0,16272.0,30844.0
416.0,-1808.0,18944.0,30946.0
240.0,-1760.0,18448.0,31049.0
176.0,-1408.0,16272.0,31151.0
256.0,-960.0,14256.0,31254.0
112.0,-912.0,14944.0,31357.0
224.0,-1232.0,17296.0,31459.0
320.0,-624.0,18960.0,31562.0
112.0,80.0,17648.0,31664.0
-16.0,-896.0,15392.0,31767.0
80.0,-1312.0,14320.0,31869.0
32.0,-1264.0,15376.0,31972.0
256.0,-1280.0,17936.0,32075.0
-16.0,-1488.0,18304.0,32177.0
304.0,-1664.0,17152.0,32280.0
128.0,-1424.0,14800.0,32382.0
272.0,-1008.0,14800.0,32485.0
320.0,-464.0,16512.0,32587.0
272.0,-1152.0,18032.0,32690.0
208.0,-432.0,18240.0,32793.0
384.0,-144.0,16432.0,32895.0
-80.0,-896.0,14496.0,32998.0
336.0,-1872.0,15120.0,33100.0
384.0,-1472.0,17184.0,33203.0
128.0,-1440.0,18224.0,33305.0
512.0,-1344.0,17920.0,33408.0
96.0,-960.0,15248.0,33511.0
256.0,-864.0,14544.0,33613.0
160.0,-1008.0,15664.0,33716.0
320.0,-1120.0,17552.0,33818.0
416.0,-976.0,18368.0,33921.0
240.0,-784.0,16816.0,34024.0
272.0,-768.0,15232.0,34126.0
256.0,-1104.0,14736.0,34229.0
368.0,-1552.0,16592.0,34331.0
240.0,-1568.0,18080.0,34434.0
288.0,-1360.0,17984.0,34536.0
256.0,-864.0,16176.0,34639.0
144.0,-688.0,14704.0,34742.0
192.0,-992.0,15360.0,34844.0
208.0,-1184.0,16928.0,34947.0
